name,final_price,mrp,discount,rating,categories,manufacturer,image_url,product_url
Himalaya Wellness Ashvagandha Tablet 60's,₹232.80,₹240.00,3% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Himalaya Wellness Company,https://www.netmeds.com/images/product-v1/150x150/814310/himalaya_wellness_ashvagandha_tablet_60s_58979_0_3.jpg,https://www.netmeds.com/non-prescriptions/himalaya-ashvagantha-tablets-60-s
Dabur Shilajit Gold Capsule 10's,₹247.50,₹275.00,10% OFF,4.5,"Ayush, Ayurvedic",Mkt: Dabur India Ltd,https://www.netmeds.com/images/product-v1/150x150/15921/dabur_shilajit_gold_capsule_10s_0_1.jpg,https://www.netmeds.com/non-prescriptions/shilajit-gold-capsule-10-s
Dabur Shilajit Capsule 100's,₹462.00,₹550.00,16% OFF,5.0,"Ayush, Ayurvedic",Mkt: Dabur India Ltd,https://www.netmeds.com/images/product-v1/150x150/15919/dabur_shilajit_capsule_100_s_0.jpg,https://www.netmeds.com/non-prescriptions/shilajit-capsule-100-s
Dr. Willmar Schwabe Damiaplant Tonic 30 ml,₹418.56,₹485.00,14% OFF,4.0,"Ayush, Homeopathy",Mkt: Dr. Willmar Schwabe India Pvt. Ltd.,https://www.netmeds.com/images/product-v1/150x150/835961/dr_willmar_schwabe_damiaplant_tonic_30_ml_0.jpg,https://www.netmeds.com/non-prescriptions/dr-willmar-schwabe-damiaplant-tonic-30-ml
Medisynth Jondila Forte Syrup 450 ml,₹273.60,₹320.00,15% OFF,5.0,"Ayush, Homeopathy",Mkt: Medisynth Chemicals Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/1140786/medisynth_jondila_forte_syrup_450_ml_750477_0_0.jpg,https://www.netmeds.com/non-prescriptions/medisynth-jondila-forte-syrup-450-ml
Hashmi Sikander-e-Azam Plus Capsule 10's,₹1212.70,₹1286.00,6% OFF,Not rated,"Ayush, Unani",Mkt: Hashmi Unani Pharmacy,https://www.netmeds.com/images/product-v1/150x150/959720/hashmi_sikander_e_azam_plus_capsule_10s_207903_0_1.jpg,https://www.netmeds.com/non-prescriptions/hashmi-sikander-e-azam-plus-capsule-10s
Pankajakasthuri Breathe Easy Granules 400 gm,₹296.40,₹380.00,22% OFF,4.8,"Ayush, Ayurvedic",Mkt: Pankajakasthuri Herbals India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/363656/pankajakasthuri_breathe_easy_granules_400_gm_43929_0_2.jpg,https://www.netmeds.com/non-prescriptions/pankaja-kasthuri-breathe-easy-400gm
Dr. Reckeweg R41 Fortivirone Drops 22 ml,₹265.62,₹285.00,7% OFF,5.0,"Ayush, Homeopathy",Mkt: Dr. Roshanlal Aggarwal & Sons P. Ltd,https://www.netmeds.com/images/product-v1/150x150/826106/dr_reckeweg_r41_fortivirone_drops_22_ml_0.jpg,https://www.netmeds.com/non-prescriptions/dr-reckeweg-r41-fortivirone-22ml
Hashmi Hard Rock Capsule 20's,₹1805.00,₹1900.00,5% OFF,5.0,"Ayush, Unani",Mkt: Hashmi Unani Pharmacy,https://www.netmeds.com/images/product-v1/150x150/959708/hashmi_hard_rock_capsule_20s_0_0.jpg,https://www.netmeds.com/non-prescriptions/hashmi-hard-rock-capsule-20s
Truuth Ashwagandha 500mg Capsule 60's,₹197.67,₹599.00,67% OFF,4.7,"Ayush, Ayurvedic",Mkt: Reliance Retail Limited,https://www.netmeds.com/images/product-v1/150x150/1042877/truuth_ashwagandha_500mg_capsule_60s_472658_0_5.jpg,https://www.netmeds.com/non-prescriptions/truuth-ashwagandha-500mg-capsule-60s
Lord's Vigor-M Tablet (Pack of 2 x 15),₹224.75,₹310.00,28% OFF,5.0,"Ayush, Homeopathy",Mkt: Lords Homoeopathic Labaratory Pvt. Ltd.,https://www.netmeds.com/images/product-v1/150x150/902047/lords_vigor_m_tablet_pack_of_2_x_15_0_0.jpg,https://www.netmeds.com/non-prescriptions/lords-vigor-ms-pack-of-2-x-15-tablet-1s
Lama Phalatrikadi Kwath Syrup 450 ml,₹105.00,₹150.00,30% OFF,5.0,"Ayush, Ayurvedic",Mkt: Lama Pharmaceuticals,https://www.netmeds.com/images/product-v1/150x150/921411/lama_phalatrikadi_kwath_syrup_450_ml_132934_0_2.jpg,https://www.netmeds.com/non-prescriptions/lama-phalatrikadi-kwath-syrup-450-ml
Hashmi Mughal-E-Azam Plus Capsule 10's,₹869.25,₹915.00,5% OFF,5.0,"Ayush, Unani",Mkt: Hashmi Unani Pharmacy,https://www.netmeds.com/images/product-v1/150x150/959712/hashmi_mughal_e_azam_plus_capsule_10s_0_0.jpg,https://www.netmeds.com/non-prescriptions/hashmi-mughal-e-azam-plus-capsule-10s
Pankajakasthuri Breathe Easy Syrup 200 ml,₹189.00,₹210.00,10% OFF,5.0,"Ayush, Ayurvedic",Mkt: Pankajakasthuri Herbals India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/410105/pankajakasthuri_breathe_easy_syrup_200_ml_0.jpg,https://www.netmeds.com/non-prescriptions/pankajakasthuri-breathe-easy-syrup-200ml
Dr. Reckeweg R71 Ischialgin Drops 22 ml,₹252.23,₹285.00,12% OFF,4.8,"Ayush, Homeopathy",Mkt: Dr. Roshanlal Aggarwal & Sons P. Ltd,https://www.netmeds.com/images/product-v1/150x150/826077/dr_reckeweg_r71_ischialgin_drops_22_ml_0.jpg,https://www.netmeds.com/non-prescriptions/dr-reckeweg-r71-ischialgin-22ml
Lama Isobael Granules 200 gm,₹246.40,₹280.00,12% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Lama Pharmaceuticals,https://www.netmeds.com/images/product-v1/150x150/921409/lama_isobael_granules_200_gm_0_0.jpg,https://www.netmeds.com/non-prescriptions/lama-isobael-granules-200-gm
Pankajakasthuri Orthoherb Tablet 60's,₹287.43,₹330.00,13% OFF,5.0,"Ayush, Ayurvedic",Mkt: Pankajakasthuri Herbals India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/413011/pankajakasthuri_orthoherb_tablet_60_s_0.jpg,https://www.netmeds.com/non-prescriptions/pankajakasthuri-orthoherb-tablet-60-s
SBL Damiagra Forte Drops 30 ml,₹324.80,₹400.00,19% OFF,5.0,"Ayush, Homeopathy",Mkt: SBL Pvt. Ltd.,https://www.netmeds.com/images/product-v1/150x150/821953/sbl_damiagra_forte_drops_30_ml_0.jpg,https://www.netmeds.com/non-prescriptions/sbl-damiagra-forte-drops-30ml
